"ktax.id"	"tax.id"	"kegg.code"	"scientific.name"	"common.name"	"entrez.gnodes"	"kegg.geneid"	"ncbi.geneid"	"ncbi.proteinid"	"uniprot"
"T01001"	"9606"	"hsa"	"Homo sapiens"	"human"	"1"	"4860"	"4860"	"NP_000261"	"P00491"
"T01005"	"9598"	"ptr"	"Pan troglodytes"	"chimpanzee"	"1"	"450169"	"450169"	"XP_016775493"	"H2PZ67"
"T02283"	"9597"	"pps"	"Pan paniscus"	"bonobo"	"1"	"100995503"	"100995503"	"XP_008964610"	NA
"T02442"	"9595"	"ggo"	"Gorilla gorilla gorilla"	"western lowland gorilla"	"1"	"109023675"	"109023675"	"XP_018867610"	"G3RN05"
"T01416"	"9601"	"pon"	"Pongo abelii"	"Sumatran orangutan"	"1"	"100174548"	"100174548"	"NP_001127475"	"Q5R8N6"
"T03265"	"61853"	"nle"	"Nomascus leucogenys"	"northern white-cheeked gibbon"	"1"	"100584841"	"100584841"	"XP_003267957"	"G1QTR4"
"T01028"	"9544"	"mcc"	"Macaca mulatta"	"rhesus monkey"	"1"	"705246"	"705246"	"NP_001253580"	"F6Z1M1"
"T02918"	"9541"	"mcf"	"Macaca fascicularis"	"crab-eating macaque"	"1"	"102135065"	"102135065"	"XP_005574662"	"Q6LDD9"
"T04361"	"60711"	"csab"	"Chlorocebus sabaeus"	"green monkey"	"1"	"103248387"	"103248387"	"XP_008018916"	"A0A0D9RT91"
"T03989"	"61622"	"rro"	"Rhinopithecus roxellana"	"golden snub-nosed monkey"	"1"	"104655979"	"104655979"	"XP_010353853"	NA
"T03264"	"9483"	"cjc"	"Callithrix jacchus"	"white-tufted-ear marmoset"	"1"	"100415495"	"100415495"	"XP_017830491"	"F7E8D9"
"T04350"	"39432"	"sbq"	"Saimiri boliviensis boliviensis"	"Bolivian squirrel monkey"	"1"	"101031227"	"101031227"	"XP_003942542"	NA
"T01002"	"10090"	"mmu"	"Mus musculus"	"mouse"	"1"	"18585"	"18585"	"NP_001157220"	"O70628"
"T01003"	"10116"	"rno"	"Rattus norvegicus"	"rat"	"1"	"140929"	"140929"	"NP_543170"	"Q8VIE4"
"T02813"	"10029"	"cge"	"Cricetulus griseus"	"Chinese hamster"	"1"	"100760443"	"100760443"	"XP_003513994"	"P55262"
"T03372"	"1026970"	"ngi"	"Nannospalax galili"	"Upper Galilee mountains blind mole rat"	"1"	"103747463"	"103747463"	"XP_008848139"	NA
"T02812"	"10181"	"hgl"	"Heterocephalus glaber"	"naked mole rat"	"1"	"101703048"	"101703048"	"XP_012924199"	"A0A0N8ET91"
"T03373"	"9986"	"ocu"	"Oryctolagus cuniculus"	"rabbit"	"1"	"100349199"	"100349199"	"XP_017193656"	"G1TAL1"
